name,value,sigma_meas
IDM000001,0,0.01
IDM000002,0,0.01
IDM000003,0,0.01
IDM000004,0,0.01
IDM000005,0,0.01
IDM000007,0,0.01
IDM000008,0,0.01
IDM000010,0,0.01
IDM000012,0,0.01
IDM000013,0,0.01
IDM000014,0,0.01
IDM000015,0,0.01
IDM000017,0,0.01
IDM000019,0,0.01
IDM000020,0,0.01
IDM000021,0,0.01
IDM000022,0,0.01
IDM000023,0,0.01
IDM000024,0,0.01
IDM000027,0,0.01
IDM000028,0,0.01
IDM000031,0,0.01
IDM000275,0,0.01
IDM000276,0,0.01
IDM000277,0,0.01
IDM000278,0,0.01
IDM000381,0,0.01
IDM000382,0,0.01
IDM000383,0,0.01
IDM000384,0,0.01
IDM000385,0,0.01
IDM000386,0,0.01
IDM000387,0,0.01
IDM000388,0,0.01
IDM000389,0,0.01
IDM000395,0,0.01
IDM000505,0,0.01
IDM000525,0,0.01
IDM000526,0,0.01
IDM000527,0,0.01
IDM000528,0,0.01
IDM000534,0,0.01
IDM000548,0,0.01
IDM000906,0,0.01
IDM000907,0,0.01
IDM000908,0,0.01
IDM000909,0,0.01
IDM000910,0,0.01
IDM000912,0,0.01
IDM000913,0,0.01
IDM000914,0,0.01
IDM000916,0,0.01
IDM000917,0,0.01
IDM000918,0,0.01
IDM000919,0,0.01
IDM001050,0,0.01
IDM001051,0,0.01
IDM001052,0,0.01
IDM001053,0,0.01
IDM001054,0,0.01
IDM001055,0,0.01
IDM001056,0,0.01
IDM001057,0,0.01
IDM001058,0,0.01
IDM001059,0,0.01
IDM001060,0,0.01
IDM001061,0,0.01
IDM001062,0,0.01
IDM001063,0,0.01
IDM001064,0,0.01
IDM001065,0,0.01
IDM001066,0,0.01
IDM001067,0,0.01
IDM001068,0,0.01
IDM001069,0,0.01
IDM001070,0,0.01
IDM001071,0,0.01
IDM001072,0,0.01
IDM001073,0,0.01
IDM001074,0,0.01
IDM001075,0,0.01
IDM001076,0,0.01
IDM001077,0,0.01
IDM001078,0,0.01
IDM001079,0,0.01
IDM001080,0,0.01
IDM001081,0,0.01
IDM001082,0,0.01
IDM001083,0,0.01
IDM001084,0,0.01
IDM001085,0,0.01
IDM001086,0,0.01
IDM001087,0,0.01
IDM001088,0,0.01
IDM001089,0,0.01
IDM001090,0,0.01
IDM001091,0,0.01
IDM001092,0,0.01
IDM001093,0,0.01
IDM001094,0,0.01
IDM001095,0,0.01
IDM001096,0,0.01
IDM001097,0,0.01
IDM001098,0,0.01
IDM001099,0,0.01
IDM001100,0,0.01
IDM001101,0,0.01
IDM001102,0,0.01
IDM001103,0,0.01
IDM001104,0,0.01
IDM001105,0,0.01
IDM001106,0,0.01
IDM001107,0,0.01
IDM001108,0,0.01
IDM001109,0,0.01
IDM001110,0,0.01
IDM001111,0,0.01
IDM001112,0,0.01
IDM001113,0,0.01
IDM001114,0,0.01
IDM001115,0,0.01
IDM001116,0,0.01
IDM001117,0,0.01
IDM001118,0,0.01
IDM001119,0,0.01
IDM001120,0,0.01
IDM001121,0,0.01
IDM001122,0,0.01
IDM001123,0,0.01
IDM001124,0,0.01
IDM001125,0,0.01
IDM001126,0,0.01
IDM001127,0,0.01
IDM001128,0,0.01
IDM001129,0,0.01
IDM001130,0,0.01
IDM001131,0,0.01
IDM001132,0,0.01
IDM001133,0,0.01
IDM001134,0,0.01
IDM001135,0,0.01
IDM001136,0,0.01
IDM001137,0,0.01
IDM001138,0,0.01
IDM001139,0,0.01
IDM001158,0,0.01
IDM001159,0,0.01
IDM001160,0,0.01
IDM001161,0,0.01
IDM001162,0,0.01
IDM001163,0,0.01
IDM001164,0,0.01
IDM001165,0,0.01
IDM001166,0,0.01
IDM001175,0,0.01
IDM001176,0,0.01
IDM001177,0,0.01
IDM001178,0,0.01
IDM001179,0,0.01
