name,x,y,value,profile,
zert01,301250.069,5268491.049,-13.7,1,
zert02,301294.669,5268427.701,-13.3,1,
zert03,301339.969,5268363.546,-29.9,1,
zert04,301390.769,5268302.801,-42.5,1,
zert05,301440.869,5268241.835,-50.4,1,
zert06,301496.369,5268184.438,-54.4,1,
zert07,301550.369,5268125.639,-53.6,1,s
zert08,301950.269,5267617.904,-76.6,1,
zert09,302023.669,5267586.775,-72,1,
zert10,302091.869,5267552.549,-74.9,1,
zert11,302177.169,5267309.551,-17.2,1,
zert12,302182.969,5267229.222,-18.7,1,
zert13,302561.277,5269047.2,-41.1,2,
zert14,302600.491,5268977.7,-43.2,2,
zert15,302622.463,5268901.2,-44.4,2,
zert16,302633.208,5268822.1,-46.5,2,
zert17,302646.448,5268743.4,-48.1,2,
zert18,302654.807,5268664.6,-70.4,2,
zert19,302770.442,5268466.1,-74.8,2,
zert20,302790.685,5268421.1,-61.3,2,
zert21,302801.748,5268338.4,-76.2,2,
zert22,302796.601,5268199.1,-78.3,2,
zert23,302788.594,5268155.5,-65.7,2,
zert24,303161.109,5269327,-25.3,3,
zert25,303205.42,5269260.5,-28.2,3,
zert26,303247.79,5269192.8,-33.3,3,
zert27,303287.757,5269123.9,-34.7,3,
zert28,303335.343,5269060,-38.5,3,
zert29,303378.978,5268993.1,-53.7,3,
zert30,303441.815,5268945,-53.6,3,
zert31,303483.902,5268880.5,-49.9,3,
zert32,303528.15,5268817.237,-46.9,3,
zert33,303598.95,5268794.544,-47.3,3,
zert34,303678.55,5268767.965,-48.4,3,
zert35,303726.05,5268706.38,-47,3,
zert36,303773.003,5268643.7,-40.5,3,
zert37,303780.321,5268564.5,-32.3,3,
zert38,303764.968,5268486.6,-25.8,3,
zert39,303878.502,5269909.2,-37,4,
zert40,303925.736,5269846.2,-37.8,4,
zert41,303978.628,5269787.8,-38,4,
zert42,304027.939,5269727.9,-38.2,4,
zert43,304080.997,5269672.4,-39.7,4,
zert44,304134.22,5269613.5,-42.7,4,
zert45,304192.203,5269558.5,-46.5,4,
zert46,304231.235,5269490.2,-49.5,4,
zert47,304226.704,5269415.2,-51,4,
zert48,304256.82,5269342.4,-51.2,4,
zert49,304281.596,5269267.7,-51.2,4,
zert50,304325.251,5269203.1,-51.7,4,
zert51,304396.93,5269180.2,-53.2,4,
zert52,304468.012,5269145.3,-54.3,4,
zert53,304538.086,5269109.5,-52.8,4,
zert54,304164.594,5270228.276,-23.9,5,
zert55,304243.694,5270233.801,-30.8,5,
zert56,304323.094,5270234.197,-30.9,5,
zert57,304396.294,5270208.932,-35.1,5,
zert58,304452.194,5270159.416,-37.2,5,
zert59,304515.594,5270112.697,-42.5,5,
zert60,304564.794,5270088.177,-65.7,5,
zert61,302194.375,5268059.374,-69.5,6,
zert62,302221.375,5267988.253,-70.7,6,
zert63,302344.575,5267719.511,-76.6,6,
zert64,302419.575,5267721.825,-77.3,6,
zert65,302475.075,5267665.796,-70.4,6,
zert66,302528.813,5267640.5,-10.6,6,
zert67,300863.656,5268199,-23,7,
zert68,300922.656,5268145.5,-20.3,7,
zert69,300979.375,5268090,-32.1,7,
zert70,301033.438,5268031.5,-39.5,7,
zert71,301074.031,5267962.5,-40.4,7,
zert72,301125.875,5267902,-40.6,7,
zert73,301179.438,5267843,-40.2,7,
zert74,301206.531,5267813.5,-56.5,7,
zert75,301474.281,5268641,-25.1,8,
zert76,301526.75,5268581,-29.6,8,
zert77,301579.719,5268520.5,-29.2,8,
zert78,301632.188,5268460.5,-31.7,8,
zert79,301684.156,5268400,-59.9,8,
zert80,300829.219,5268185,-11.8,9,
zert81,300807.031,5268109,-34.1,9,
zert82,300797.563,5268031.5,-36.1,9,
zert83,300838.281,5267962.5,-38.2,9,
zert84,300878.969,5267893.5,-38.2,9,
zert85,300928,5267831,-35.9,9,
zert86,300988.594,5267780,-33.8,9,
zert87,301029.531,5267723.5,-47.7,9,
