name,value,sigma_meas,sigma_spat,sigma_temp,sigma_tot
zmuni1,0,0,0,0,0
zmuni2,0,0,0,0,0
zmuni3,0,0,0,0,0
zmuni4,0,0,0,0,0
zmuni5,0,0,0,0,0
zmuni6,0,0,0,0,0
zmuni7,0,0,0,0,0
zmuni8,0,0,0,0,0
zmuni9,0,0,0,0,0
zpz01,-46.62,0.05,2.25,0.187258773,2.258332537
zpz02,-45.35,0.05,1.555555556,0.326179247,1.590171685
zpz03,-41.52,0.05,1.185185185,0.06973362,1.188287297
zpz04,-33.8,0.05,1.111111111,0.185556221,1.12760765
zpz05,-31.41,0.05,2.333333333,0.244890646,2.346681886
zpz07,-64.24,0.05,3.259259259,0.639478649,3.321777214
zpz08,-42.53,0.05,2.888888889,0.639478649,2.959241787
