name,nameori,value,sigma_meas,sigma_spat,sigma_temp,sigma_tot
zmuni1,FE0603,0.0,0.0,0.0,0.0,0.0
zmuni2,FE0604,0.0,0.0,0.0,0.0,0.0
zmuni3,FE0605,0.0,0.0,0.0,0.0,0.0
zmuni4,FE0606,0.0,0.0,0.0,0.0,0.0
zmuni5,GE0901A,0.0,0.0,0.0,0.0,0.0
zmuni6,GE0902,0.0,0.0,0.0,0.0,0.0
zmuni7,GE0903,0.0,0.0,0.0,0.0,0.0
zmuni8,GE0904,0.0,0.0,0.0,0.0,0.0
zmuni9,GE0905B,0.0,0.0,0.0,0.0,0.0
zpz01,F1,-46.62,0.05,2.25,0.1872587733973648,2.2583325371198737
zpz02,F2,-45.35,0.05,1.5555555555555554,0.3261792470936311,1.590171684961822
zpz03,F3,-41.52,0.05,1.1851851851851851,0.06973362013962695,1.1882872973150136
zpz04,F4,-33.8,0.05,1.111111111111111,0.18555622089035767,1.1276076500031733
zpz05,Grande-Entree,-31.41,0.05,2.333333333333333,0.24489064614931386,2.3466818857731595
zpz07,PZ-FE0603,-64.24,0.05,3.2592592592592586,0.6394786494650881,3.3217772144123248
zpz08,PZ-GE0903,-42.53,0.05,2.888888888888889,0.6394786494650881,2.9592417872602725
